# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
1.915               	GAMG	1.682243747170e-01	8.064384249200e-04	1	true
1.919375            	GAMG	1.495598616520e-01	7.436855134810e-04	1	true
1.92375             	GAMG	1.462444886060e-01	7.848681072960e-04	1	true
1.928125            	GAMG	1.513404565770e-01	7.922309703700e-04	1	true
1.9325              	GAMG	1.600259711160e-01	8.277943856340e-04	1	true
1.936875            	GAMG	1.668492393730e-01	7.718811563470e-04	1	true
1.94125             	GAMG	1.719197002590e-01	7.895947105810e-04	1	true
1.945625            	GAMG	1.758494449820e-01	7.543447152320e-04	1	true
1.95                	GAMG	1.722021148520e-01	7.353289989360e-04	1	true
1.95416666667       	GAMG	1.520175406900e-01	7.557256790320e-04	1	true
1.95833333333       	GAMG	1.540724430520e-01	6.665091195460e-04	1	true
1.9625              	GAMG	1.673545987640e-01	7.496456807430e-04	1	true
1.96625             	GAMG	1.583372121870e-01	6.971906623130e-04	1	true
1.97                	GAMG	1.609589073710e-01	7.336911994500e-04	1	true
1.97375             	GAMG	1.568438980090e-01	7.311954228990e-04	1	true
1.9775              	GAMG	1.494036872670e-01	7.338991978130e-04	1	true
1.98125             	GAMG	1.427892060520e-01	6.935154409720e-04	1	true
1.985               	GAMG	1.353927778860e-01	6.812202852230e-04	1	true
1.98875             	GAMG	1.302908802320e-01	6.809401847260e-04	1	true
1.9925              	GAMG	1.355140075070e-01	6.806731567410e-04	1	true
1.99625             	GAMG	1.419608222100e-01	6.828517009080e-04	1	true
2                   	GAMG	1.454752457000e-01	6.852196930890e-04	1	true
2.00333333333       	GAMG	1.292869745210e-01	5.982353795010e-04	1	true
2.00666666667       	GAMG	1.284072795750e-01	6.567153075750e-04	1	true
2.01                	GAMG	1.280405614190e-01	6.349258115400e-04	1	true
2.01333333333       	GAMG	1.281763147540e-01	6.164042977220e-04	1	true
2.01666666667       	GAMG	1.258805700010e-01	6.287339352020e-04	1	true
2.02                	GAMG	1.228538439640e-01	5.707820081360e-04	1	true
2.02333333333       	GAMG	1.216085897710e-01	5.288274940750e-04	1	true
2.02666666667       	GAMG	1.275803936900e-01	6.802910079010e-04	1	true
2.03                	GAMG	1.323581123300e-01	6.116737815050e-04	1	true
2.03333333333       	GAMG	1.331338451820e-01	6.230462328460e-04	1	true
2.03666666667       	GAMG	1.325837888710e-01	6.313435873600e-04	1	true
2.04                	GAMG	1.349289631490e-01	6.414803382870e-04	1	true
2.04333333333       	GAMG	1.342979591790e-01	6.202448005350e-04	1	true
2.04666666667       	GAMG	1.323957091570e-01	6.967393883250e-04	1	true
2.05                	GAMG	1.327834522600e-01	6.427612319990e-04	1	true
2.05294117647       	GAMG	1.130546017270e-01	5.528897998890e-04	1	true
2.05588235294       	GAMG	1.094067728550e-01	5.422052522230e-04	1	true
2.05863970588       	GAMG	1.074220145400e-01	5.363957154450e-04	1	true
2.06139705882       	GAMG	1.115874334010e-01	5.206398337180e-04	1	true
2.06415441176       	GAMG	1.154711101460e-01	5.488075798230e-04	1	true
2.06691176471       	GAMG	1.156305564470e-01	5.744782043750e-04	1	true
2.06966911765       	GAMG	1.166463508370e-01	5.507673736540e-04	1	true
2.07242647059       	GAMG	1.169798016540e-01	5.573620109360e-04	1	true
2.07518382353       	GAMG	1.157126215640e-01	5.690133038450e-04	1	true
2.07794117647       	GAMG	1.157634011530e-01	5.415681717670e-04	1	true
2.08069852941       	GAMG	1.145046180370e-01	5.649699365160e-04	1	true
2.08311121324       	GAMG	9.880484712550e-02	4.868184049940e-04	1	true
2.08552389706       	GAMG	9.700115809210e-02	4.992765006930e-04	1	true
2.08793658088       	GAMG	9.486670992820e-02	4.509563709400e-04	1	true
2.09034926471       	GAMG	9.629078744050e-02	4.376683509090e-04	1	true
2.09276194853       	GAMG	9.946459533060e-02	4.731325967340e-04	1	true
2.09517463235       	GAMG	1.011569690020e-01	4.580355006890e-04	1	true
2.09758731618       	GAMG	1.047338705540e-01	4.816878206740e-04	1	true
2.1                 	GAMG	1.058491157380e-01	5.061643383420e-04	1	true
2.10238095238       	GAMG	1.046207954570e-01	5.298470528610e-04	1	true
2.10476190476       	GAMG	1.068345000840e-01	5.226139495590e-04	1	true
2.10714285714       	GAMG	1.074522848860e-01	5.128478006180e-04	1	true
2.10939849624       	GAMG	9.959831823550e-02	4.705546461780e-04	1	true
2.11178681999       	GAMG	1.027833298490e-01	4.931711138720e-04	1	true
2.11403465411       	GAMG	9.489431217410e-02	4.448815039950e-04	1	true
2.11628248823       	GAMG	9.473100251380e-02	4.340952866790e-04	1	true
2.11853032235       	GAMG	9.362023505490e-02	4.375062150570e-04	1	true
2.12077815646       	GAMG	9.203264843930e-02	4.270942369170e-04	1	true
2.12302599058       	GAMG	9.025998663310e-02	4.254524711770e-04	1	true
2.1252738247        	GAMG	9.180952393030e-02	4.376652655120e-04	1	true
2.12752165882       	GAMG	9.350825272830e-02	4.516132464760e-04	1	true
2.12976949294       	GAMG	9.634009227000e-02	4.780411533880e-04	1	true
2.13179254364       	GAMG	8.864668656580e-02	4.210116182540e-04	1	true
2.13381559435       	GAMG	8.995264847880e-02	4.290490870350e-04	1	true
2.13583864506       	GAMG	9.129085288610e-02	4.230846048050e-04	1	true
2.13786169576       	GAMG	9.273460692030e-02	4.384934051870e-04	1	true
2.13988474647       	GAMG	9.280497141790e-02	4.513805324240e-04	1	true
2.14190779717       	GAMG	9.187314312890e-02	4.370377847200e-04	1	true
2.14393084788       	GAMG	9.181068922720e-02	4.393678777660e-04	1	true
2.14595389859       	GAMG	8.946076844570e-02	4.417314404990e-04	1	true
2.14797694929       	GAMG	8.658233645850e-02	4.161136296540e-04	1	true
2.15                	GAMG	8.592780669850e-02	4.243269245050e-04	1	true
2.152               	GAMG	8.375717907390e-02	4.066307466930e-04	1	true
2.15392             	GAMG	7.959822236780e-02	3.786660982930e-04	1	true
2.15592347826       	GAMG	8.176880530160e-02	4.026943627970e-04	1	true
2.15783984877       	GAMG	7.638418339250e-02	3.684775402020e-04	1	true
2.15975621928       	GAMG	7.502864811250e-02	3.599195190390e-04	1	true
2.16167258979       	GAMG	7.742336794560e-02	3.592392817530e-04	1	true
2.1635889603        	GAMG	7.913157714260e-02	3.753777893940e-04	1	true
2.16550533081       	GAMG	8.070090000720e-02	3.740488650050e-04	1	true
2.16732083972       	GAMG	7.775726252280e-02	3.593719723030e-04	1	true
2.16913634862       	GAMG	7.942354314280e-02	3.712761090090e-04	1	true
2.17106532683       	GAMG	8.508319957120e-02	3.988815764750e-04	1	true
2.17287374391       	GAMG	8.127948046180e-02	3.878278823020e-04	1	true
2.17468216098       	GAMG	8.252971720530e-02	3.978001743090e-04	1	true
2.17649057805       	GAMG	8.207819117380e-02	3.896829384010e-04	1	true
2.17829899512       	GAMG	8.307053962040e-02	4.017773271440e-04	1	true
2.1801074122        	GAMG	8.220799293410e-02	4.092010520320e-04	1	true
